"","diff","lwr.ci","upr.ci","pval"
"2-1",0.0462545126353802,-0.224833179603051,0.317342204873811,0.996637532921917
"3-1",0.0983378459687101,-0.666811263690145,0.863486955627565,0.999137457829333
"4-1",-0.156685660249066,-0.270877687735169,-0.0424936327629643,0.00131597546202289
"5-1",0.483754512635362,-0.661397506980319,1.62890653225104,0.834560400664185
"6-1",0.127073478152608,-0.127471815531368,0.381618771836584,0.712361382498653
"3-2",0.0520833333333299,-0.753836859800231,0.858003526466891,0.999970684938041
"4-2",-0.202940172884447,-0.480598266283659,0.0747179205147654,0.295527675730093
"5-2",0.437499999999982,-0.735286146626321,1.61028614662628,0.895529960286382
"6-2",0.0808189655172278,-0.278134379954521,0.439772310988976,0.987773543815039
"4-3",-0.255023506217777,-1.02252506319253,0.512478050756973,0.93388807044732
"5-3",0.385416666666652,-0.988407182612124,1.75924051594543,0.967504919340687
"6-3",0.0287356321838979,-0.771771786491245,0.82924305085904,0.999998429600572
"5-4",0.640440172884428,-0.506285002550732,1.78716534831959,0.603186267133203
"6-4",0.283759138401674,0.0222275217975078,0.545290755005841,0.0244160685625096
"6-5",-0.356681034482754,-1.52575422097369,0.812392152008184,0.953538673864156
