"","diff","lwr.ci","upr.ci","pval"
"2-1",0.081112484164549,-0.157073359232792,0.31929832756189,0.926991070947872
"3-1",0.202613205665275,-0.473896529857599,0.879122941188149,0.957029815083236
"4-1",-0.00357326471678321,-0.104134711426604,0.0969881819930371,0.999998507450393
"5-1",0.288724316776377,-0.723778717832296,1.30122735138505,0.965139690166779
"6-1",0.248555777450538,0.0258952478211011,0.471216307079975,0.0184211867219607
"3-2",0.121500721500726,-0.59058230053599,0.833583743537442,0.996637559015381
"4-2",-0.0846857488813322,-0.328631260379464,0.159259762616799,0.921157097908622
"5-2",0.207611832611828,-0.828997642121779,1.24422130734543,0.992865281201282
"6-2",0.167443293285989,-0.147158867340054,0.482045453912031,0.652507586687892
"4-3",-0.206186470382058,-0.884745486859189,0.472372546095073,0.954327977249991
"5-3",0.0861111111111019,-1.1285872585963,1.3008094808185,0.999953621106349
"6-3",0.0459425717852628,-0.661098760622469,0.752983904192994,0.999969884073579
"5-4",0.29229758149316,-0.721575838454791,1.30617100144111,0.963463546103358
"6-4",0.252129042167321,0.02331770494811,0.480940379386532,0.0209923125191629
"6-5",-0.0401685393258391,-1.0733211991818,0.99298412053012,0.999997661818034
