"","diff","lwr.ci","upr.ci","pval"
"2-1",-0.0755740875030223,-0.207748427691422,0.0566002526853775,0.577791453602553
"3-1",0.079187817258878,-0.337295861198033,0.495671495715789,0.994395157441834
"4-1",-0.119762564420507,-0.174756621601131,-0.0647685072398834,9.82244008351785e-09
"5-1",0.266687817258883,-0.24288345327284,0.776259087790606,0.668746151414325
"6-1",-0.0376952996242332,-0.15804740175449,0.0826568025060232,0.948110479483063
"3-2",0.1547619047619,-0.279781882565107,0.589305692088908,0.912686762718271
"4-2",-0.0441884769174847,-0.179812940082085,0.0914359862471152,0.938930657092085
"5-2",0.342261904761906,-0.182173533051763,0.866697342575575,0.426198693273022
"6-2",0.0378787878787891,-0.134905115221794,0.210662690979373,0.989164949586484
"4-3",-0.198950381679385,-0.616541800682992,0.218641037324222,0.751416951552867
"5-3",0.187500000000005,-0.469021992511727,0.844021992511738,0.964878594987707
"6-3",-0.116883116883111,-0.547978089467381,0.314211855701159,0.971954264424452
"5-4",0.38645038167939,-0.124026668300098,0.896927431658879,0.257354132745792
"6-4",0.0820672647962738,-0.0420639854657723,0.20619851505832,0.410962194314495
"6-5",-0.304383116883117,-0.825964463096483,0.21719822933025,0.555300058781679
