"","diff","lwr.ci","upr.ci","pval"
"2-1",0.0740789129866808,-0.0150861328951065,0.163243958868468,0.167395832215477
"3-1",0.87640449438202,0.623041182878461,1.12976780588558,5.14699394216223e-11
"4-1",-0.111916673501191,-0.150376544735917,-0.0734568022664657,5.14808196072636e-11
"5-1",0.87640449438213,0.476833078201485,1.27597591056278,7.23020088244652e-09
"6-1",0.0253406645947915,-0.0602197788408827,0.110901108030466,0.959026733110314
"3-2",0.80232558139534,0.53578621005508,1.0688649527356,5.14667197748508e-11
"4-2",-0.185995586487872,-0.277261300498135,-0.0947298724776091,1.06332283866806e-07
"5-2",0.80232558139545,0.394272171304298,1.2103789914866,3.46636617187812e-07
"6-2",-0.0487382483918893,-0.167779662779155,0.0703031659953762,0.852158511653672
"4-3",-0.988321167883212,-1.24243136595238,-0.734210969814045,5.14426279352165e-11
"5-3",1.0991207943789e-13,-0.471964138145964,0.471964138146183,1
"6-3",-0.851063829787229,-1.1164191021077,-0.585708557466762,5.14750464475355e-11
"5-4",0.988321167883322,0.588275743243434,1.38836659252321,8.88671358723059e-11
"6-4",0.137257338095983,0.0495098901125167,0.225004786079449,0.000124804100991138
"6-5",-0.851063829787339,-1.25834477650695,-0.443782883067724,4.43254214443911e-08
