"","diff","lwr.ci","upr.ci","pval"
"2-1",-0.0420384567047828,-0.164126731861471,0.0800498184519052,0.923674799726202
"3-1",0.0435779816513794,-0.314767313965293,0.401923277268052,0.999340594410074
"4-1",-0.146936487802001,-0.197682534953052,-0.0961904406509497,2.17237339228404e-11
"5-1",0.0435779816513856,-0.462274862516974,0.549430825819745,0.999878394926148
"6-1",-0.0785150416044397,-0.191624771703622,0.0345946884947422,0.354092002954405
"3-2",0.0856164383561622,-0.290476228636124,0.461709105348448,0.987143672224855
"4-2",-0.104898031097218,-0.229836034027579,0.0200399718331428,0.158361146967815
"5-2",0.0856164383561684,-0.432959923646563,0.6041928003589,0.997123953255617
"6-2",-0.0364765848996569,-0.197187985608754,0.12423481580944,0.987316721543732
"4-3",-0.19051446945338,-0.549840656275454,0.168811717368694,0.656264279992308
"5-3",6.21724893790088e-15,-0.618407023883014,0.618407023883026,1
"6-3",-0.122093023255819,-0.495367665145333,0.251181618633695,0.937992874162776
"5-4",0.190514469453386,-0.316033709497748,0.69706264840452,0.892202291336923
"6-4",0.0684214461975611,-0.0477584517564371,0.184601344151559,0.545242404434711
"6-5",-0.122093023255825,-0.63862928271915,0.394443236207499,0.984758290635143
