"","diff","lwr.ci","upr.ci","pval"
"2-1",-0.0794897574462758,-0.240951910356304,0.0819723954637519,0.724432696595744
"3-1",-0.283256880733947,-0.757169734701225,0.19065597323333,0.528553150605483
"4-1",-0.181568777840058,-0.248680595204722,-0.114456960475394,2.19873008688865e-11
"5-1",-0.158256880733941,-0.827248961834776,0.510735200366894,0.984702548448681
"6-1",0.0452314913590803,-0.104356505632829,0.19481948835099,0.955255259507658
"3-2",-0.203767123287671,-0.701150935355739,0.293616688780396,0.85177720787819
"4-2",-0.102079020393782,-0.267309947831537,0.0631519070439733,0.490564112834438
"5-2",-0.0787671232876651,-0.764586099350284,0.607051852774954,0.999500973477516
"6-2",0.124721248805356,-0.087820117041399,0.337262614652111,0.549276271426651
"4-3",0.101688102893889,-0.373521982978675,0.576898188766453,0.990311100064665
"5-3",0.125000000000006,-0.692845360848026,0.942845360848038,0.998010108249457
"6-3",0.328488372093028,-0.165168592335788,0.822145336521843,0.403483141415596
"5-4",0.0233118971061168,-0.646599766574421,0.693223560786654,0.999998654965254
"6-4",0.226800269199138,0.0731519649336791,0.380448573464597,0.000382597381486383
"6-5",0.203488372093021,-0.479632561526561,0.886609305712603,0.95799817490111
