"","diff","lwr.ci","upr.ci","pval"
"2-1",0.132499685811239,-0.00969508681206799,0.274694458434546,0.0843370908373791
"3-1",0.192431192660549,-0.224929342292125,0.609791727613223,0.776674404104757
"4-1",0.0859199386412609,0.0268166166644818,0.14502326061804,0.000502978027222101
"5-1",0.0674311926605479,-0.521729642522508,0.656592027843604,0.99950936392769
"6-1",0.0616172391721803,-0.0701203280290527,0.193354806373413,0.765905615972787
"3-2",0.0599315068493096,-0.378099182007807,0.497962195706427,0.998832077158127
"4-2",-0.0465797471699783,-0.192093564085587,0.0989340697456302,0.943251056009015
"5-2",-0.0650684931506914,-0.669048259333512,0.538911273032129,0.999635006588623
"6-2",-0.0708824466390589,-0.258061117584115,0.116296224305998,0.889349118733016
"4-3",-0.106511254019288,-0.525014221377869,0.311991713339293,0.97878488093381
"5-3",-0.125000000000001,-0.845251359410619,0.595251359410617,0.996355304050152
"6-3",-0.130813953488369,-0.565562521779681,0.303934614802944,0.956170638404627
"5-4",-0.018488745980713,-0.608459429375703,0.571481937414277,0.999999202430664
"6-4",-0.0243026994690806,-0.159616054922467,0.111010655984306,0.995714830693193
"6-5",-0.00581395348836755,-0.607417636330286,0.595789729353551,0.99999999776675
