"","contrast","race","gender","estimate","SE","df","z.ratio","p.value"
"1","1 - 0","1","1",0.100338241621598,0.142623903348414,Inf,0.703516305934236,0.481734048613679
"2","1 - 0","2","1",-0.175578879075155,0.319607083012144,Inf,-0.549358535550614,0.582759423750262
"3","1 - 0","4","1",-0.452569732369274,0.201541802945278,Inf,-2.24553777804674,0.0247336298349829
"4","1 - 0","6","1",0.0198348833826113,0.327292007656282,Inf,0.0606030178513911,0.95167537004624
"5","1 - 0","1","2",0.138864579455904,0.0927131756404139,Inf,1.49778689486905,0.134188626767003
"6","1 - 0","2","2",-0.137052541240849,0.289169325639094,Inf,-0.473952556820986,0.635533739480744
"7","1 - 0","4","2",-0.414043394534968,0.172354292550382,Inf,-2.40228072308635,0.0162931995584669
"8","1 - 0","6","2",0.0583612212169174,0.311241722149272,Inf,0.187510918568068,0.851260063738359
"9","1 - 0","1","3",-0.246915481764408,0.425271703921517,Inf,-0.580606420524926,0.561505744054686
"10","1 - 0","2","3",-0.522832602461161,0.514718181577526,Inf,-1.01576478386438,0.309741409632286
"11","1 - 0","4","3",-0.79982345575528,0.451942214457067,Inf,-1.76974717158505,0.0767692679190956
"12","1 - 0","6","3",-0.327418840003395,0.525311561711694,Inf,-0.623285044282142,0.533097224035469
