"","Estimate","Std. Error","z","p","sd","z2","p2"
"(Intercept)",-0.377748692123577,0.143965366036344,-2.6238858867501,0.00869329057812149,0.0862039570181515,-4.3820342498203,1.17576319938139e-05
"overallSev",0.528270476715662,0.192691671186149,2.74153248795756,0.00611533128798472,0.160635346304759,3.28863160486124,0.0010067570439173
"gender2",0.464764677869599,0.145935792052244,3.18472028920237,0.00144893983822803,0.0969730443934061,4.79272029435431,1.64534944610261e-06
"gender3",0.876054436646393,0.442340602118513,1.98049745479091,0.0476476590583083,0.367310828358218,2.38504930704636,0.0170768323778402
"race2",-0.249324717610804,0.284343905141951,-0.876842137644326,0.380572388139124,0.20338794389795,-1.22585789910882,0.220252154352371
"race4",-1.60839663471897,0.153457287357463,-10.4810704165021,1.05542333913441e-25,0.0810740523855523,-19.8386115827804,1.38223527479197e-87
"race6",-0.606117133453794,0.276817117930759,-2.1895941189786,0.0285536859157159,0.19475713840009,-3.11216902462721,0.00185718132851218
"eth1",-0.187447724265618,0.208224411362908,-0.900219734269876,0.368003326160165,0.14565358991539,-1.28694201340665,0.198114500074753
"baseline",-0.511632061808998,0.0706505081963004,-7.24173222346034,4.42989841706188e-13,0.0523912774969715,-9.76559622617664,1.58178832914743e-22
"txHist.past1",0.127681267240067,0.123451887877147,1.03425933321594,0.301014942836995,0.0841770464498373,1.51681809501543,0.129312617160363
"`overallSev:gender2`",-0.0990709366146484,0.197881704791544,-0.500657383758713,0.616612269494444,0.165226563057697,-0.599606593402617,0.548768451953847
"`overallSev:gender3`",-0.650932305948339,0.616913698166781,-1.05514322000411,0.291359827863782,0.556899306645677,-1.16885099008121,0.24246367239919
"`overallSev:race2`",-0.572668553212995,0.382897058027749,-1.49562014438746,0.13475267063431,0.26326996447463,-2.17521415462561,0.0296140719582616
"`overallSev:race4`",-0.488729658274483,0.199457515108674,-2.45029453018203,0.0142739402865837,0.129427838128971,-3.77607835640025,0.000159316891487
"`overallSev:race6`",-0.207309567728353,0.38172213003508,-0.543090251826115,0.587067664075618,0.285929719904841,-0.725036795046512,0.46842945761641
"`overallSev:eth1`",-0.308115375790725,0.241461924976564,-1.27604124675404,0.201940938861344,0.187503840092495,-1.64324834968038,0.100331559996885
